编号,名称,型号,单价,数量,小计,链接,备注,,原型号,原件链接
1,螺丝,圆头-M3x10,,36,0,https://detail.tmall.com/item.htm?id=19350907279,数量按照200颗备齐,,,
2,,圆头-M3x8,,36,0,同上,数量按照200颗备齐,,,
3,,圆头-M3x5,,20,0,同上,数量按照200颗备齐,,,
4,,圆头-M2.5x4,,4,0,同上,数量按照200颗备齐,,,
5,,圆头-M2x5-自攻,,2,0,https://detail.tmall.com/item.htm?id=15445529505,数量按照200颗备齐,,,
6,螺母,M3自锁,,22,0,https://detail.tmall.com/item.htm?id=17926870443,数量按照200颗备齐,,,
7,,M3尼龙,,8,0,https://detail.tmall.com/item.htm?id=16581227141,数量按照200颗备齐,,,
8,隔离柱-单通,六角螺柱,,0,0,https://detail.tmall.com/item.htm?id=15380289257,数量按照100颗备齐,,,
9,,六角螺柱-尼龙-6mm,,4,0,https://detail.tmall.com/item.htm?id=15477154507,数量按照100颗备齐,,,
10,隔离柱-双通,铝-40mm,,16,0,https://detail.tmall.com/item.htm?id=604278131204,数量按照100颗备齐,,,
11,,铝-15mm,,2,0,同上,数量按照100颗备齐,,,
12,,尼龙-40mm,,0,0,https://item.taobao.com/item.htm?id=546384793438,数量按照100颗备齐,,,
13,,尼龙-30mm,,0,0,同上,数量按照100颗备齐,,,
14,,尼龙-20mm,,8,0,同上,数量按照100颗备齐,,,
15,,尼龙-15mm,,0,0,同上,数量按照100颗备齐,,,
16,电机,RS2306-2400kv  四个,195,1,195,https://item.taobao.com/item.htm?id=545473725775,,,,https://m.racerstar.com/racerstar-br2306-popo-2400kv-2700kv-2-4s-brushless-motor-for-rc-fpv-racing-drone-p-300.html
17,ESC电调,EMAX BLHeli Series 25A,46,4,184,https://item.taobao.com/item.htm?id=44906712514,,,Spedix ES25,https://www.myfpvstore.com/fpv-electronics/spedix-es25-25a-esc-2-4s-lipo-blheli_s/
18,PDB功率分配板,Matek 多轴 分电板 ,28,1,28,https://item.taobao.com/item.htm?id=522888045161,,,COEX PDB,https://clover.coex.tech/en/coex_pdb.html
19,飞控,Pixracer R14,695,1,695,https://item.taobao.com/item.htm?id=559302449795,,,COEX Pix,https://clover.coex.tech/en/coex_pix.html
20,树莓派,Pi4-2G,683,1,683,https://item.taobao.com/item.htm?id=619656726932,,,,
21,测距模块,VL53L1X,35.9,1,35.9,https://item.taobao.com/item.htm?id=600540090714,,,,
22,摄像头,Pi HQ Camera,369,1,369,https://item.taobao.com/item.htm?id=613700845935,,,,
23,,6mm镜头,159,1,159,同上,,,,
24,tf卡,256G 高速,189,1,189,https://detail.tmall.com/item.htm?id=555084337871,,,,
25,LED灯带,"ws2812,电压5V，灯珠密度144，裸板",68,1,68,https://item.taobao.com/item.htm?id=522197656009,,,,
26,usb线缆,待定,,,0,,,,,
27,理线扎带,待定,,,0,,,,,
28,电池,11.1V 3S 2300mAH,98,1,98,https://item.taobao.com/item.htm?id=583311920871,,,Tattu 2300,https://www.genstattu.com/tattu-2300mah-45c-3s1p-lipo-battery-pack-with-xt60-plug.html
29,螺旋浆,T5050,15,2,30,https://item.taobao.com/item.htm?id=551447853083,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
总计,,,,,2733.9,,,,,
